station,horizon,persistence,actual_onset,predicted_onset,onset_error_hours,peak_error_hours,duration_error_hours,recovery_error_hours
Alipur Delhi DPCC,1,6,2023-11-12 21:00:00,2023-11-13 16:00:00,19.0,21.0,19.0,0.0
Alipur Delhi DPCC,1,6,2023-11-14 17:00:00,2023-11-14 18:00:00,1.0,1.0,0.0,1.0
Alipur Delhi DPCC,1,6,2023-11-15 19:00:00,2023-11-15 19:00:00,0.0,8.0,22.0,22.0
Alipur Delhi DPCC,1,6,2023-11-17 20:00:00,2023-11-17 21:00:00,1.0,1.0,1.0,0.0
Alipur Delhi DPCC,1,6,2023-11-18 19:00:00,2023-11-22 17:00:00,94.0,1.0,93.0,1.0
Alipur Delhi DPCC,1,6,2023-11-24 10:00:00,2023-11-24 11:00:00,1.0,1.0,,
Alipur Delhi DPCC,1,6,2023-11-28 23:00:00,2023-11-29 01:00:00,2.0,1.0,2.0,0.0
Alipur Delhi DPCC,1,6,2023-11-29 10:00:00,2023-11-29 16:00:00,6.0,1.0,6.0,0.0
Alipur Delhi DPCC,1,6,2023-12-01 00:00:00,2023-12-01 08:00:00,8.0,1.0,8.0,0.0
Alipur Delhi DPCC,1,6,2023-12-02 20:00:00,2023-12-02 21:00:00,1.0,1.0,0.0,1.0
Alipur Delhi DPCC,1,6,2023-12-03 19:00:00,2023-12-03 20:00:00,1.0,1.0,1.0,0.0
Alipur Delhi DPCC,1,6,2023-12-04 20:00:00,2023-12-04 20:00:00,0.0,1.0,1.0,1.0
Alipur Delhi DPCC,1,6,2023-12-05 22:00:00,2023-12-05 22:00:00,0.0,1.0,1.0,1.0
Alipur Delhi DPCC,1,6,2023-12-06 20:00:00,2023-12-06 21:00:00,1.0,1.0,0.0,1.0
Alipur Delhi DPCC,1,6,2023-12-07 18:00:00,2023-12-07 19:00:00,1.0,1.0,2.0,1.0
Alipur Delhi DPCC,1,6,2023-12-08 20:00:00,2023-12-08 20:00:00,0.0,1.0,,
Alipur Delhi DPCC,1,6,2023-12-12 16:00:00,2023-12-12 16:00:00,,1.0,,1.0
Alipur Delhi DPCC,1,6,2023-12-13 19:00:00,2023-12-13 19:00:00,0.0,1.0,0.0,0.0
Alipur Delhi DPCC,1,6,2023-12-14 21:00:00,2023-12-14 19:00:00,2.0,0.0,2.0,0.0
Alipur Delhi DPCC,1,6,2023-12-19 00:00:00,2023-12-19 00:00:00,,1.0,,0.0
Alipur Delhi DPCC,1,6,2023-12-19 21:00:00,2023-12-19 21:00:00,0.0,0.0,1.0,1.0
Alipur Delhi DPCC,1,6,2023-12-20 04:00:00,2023-12-20 05:00:00,1.0,2.0,2.0,1.0
Alipur Delhi DPCC,1,6,2023-12-20 19:00:00,2023-12-21 18:00:00,23.0,23.0,22.0,1.0
Alipur Delhi DPCC,1,6,2023-12-24 19:00:00,2023-12-24 19:00:00,0.0,38.0,23.0,23.0
Alipur Delhi DPCC,1,6,2023-12-26 19:00:00,2023-12-26 19:00:00,0.0,1.0,1.0,1.0
Alipur Delhi DPCC,1,6,2023-12-27 06:00:00,2023-12-27 07:00:00,1.0,1.0,0.0,1.0
Alipur Delhi DPCC,1,6,2023-12-31 15:00:00,2023-12-31 15:00:00,,1.0,,
Alipur Delhi DPCC,6,2,2023-01-01 06:00:00,2023-01-01 11:00:00,,4.0,,1.0
Alipur Delhi DPCC,6,2,2023-01-01 20:00:00,2023-01-01 20:00:00,0.0,1.0,,
Alipur Delhi DPCC,6,2,2023-01-05 20:00:00,2023-01-05 20:00:00,0.0,0.0,,
Alipur Delhi DPCC,6,2,2023-01-06 12:00:00,2023-01-06 12:00:00,,1.0,,
Alipur Delhi DPCC,6,2,2023-01-09 23:00:00,2023-01-09 18:00:00,,2.0,,10.0
Alipur Delhi DPCC,6,2,2023-01-10 12:00:00,2023-01-10 20:00:00,8.0,3.0,3.0,5.0
